Class,precision,recall,f1-score,support
person,0.5209302325581395,0.9385474860335196,0.6699900299102692,716.0
kite,0.5942028985507246,0.8785714285714286,0.7089337175792507,140.0
car,0.17689530685920576,0.8032786885245902,0.28994082840236685,61.0
bird,0.6466165413533834,0.7818181818181819,0.7078189300411523,110.0
carrot,0.09114583333333333,0.7446808510638298,0.16241299303944315,47.0
boat,0.09392265193370165,0.4594594594594595,0.1559633027522936,37.0
surfboard,0.1746031746031746,0.7333333333333333,0.28205128205128205,30.0
traffic light,0.31666666666666665,0.7916666666666666,0.4523809523809524,24.0
airplane,0.35714285714285715,0.8333333333333334,0.5,24.0
giraffe,0.3620689655172414,0.9130434782608695,0.5185185185185185,23.0
micro avg,0.3838383838383838,0.8778877887788779,0.5341365461847389,1212.0
macro avg,0.3334195128518428,0.7877732907065211,0.4448010554675529,1212.0
weighted avg,0.47490840584211796,0.8778877887788779,0.6032662663640388,1212.0
